,District,Latitude,Longitude
98,DUMONT BORO,40.93799000000007,-73.99440999999996
99,SCH DIST OF THE CHATHAMS,40.732381739991645,-74.40652491198097
100,POMPTON LAKES BORO,41.00311000000005,-74.28945999999996
101,BERNARDS TWP,40.69837000000007,-74.54527999999993
102,GREENWICH TWP,40.70049000000006,-75.11974999999995
103,MIDDLESEX CO VOCATIONAL,40.51434007328751,-74.26209005611938
104,HARRINGTON PARK BORO,40.98666000000003,-73.97884999999997
105,CLINTON TWP,40.623890000000074,-74.88064999999995
106,MADISON BORO,40.75729000000007,-74.41613999999998
107,BYRAM TWP,40.93769000000003,-74.70774999999998
108,EMERSON BORO,40.97520000000003,-74.02444999999994
109,MOORESTOWN TWP,39.964180000000056,-74.94917999999996
110,BRIDGEWATER-RARITAN REG,40.59281992224055,-74.63278004775222
111,N HUNT/VOORHEES REGIONAL,40.48246000000006,-74.48538999999994
112,WYCKOFF TWP,41.01093000000003,-74.16603999999995
113,METUCHEN BORO,40.54445000000004,-74.36320999999998
114,CLINTON TOWN,40.623890000000074,-74.88064999999995
115,OLD TAPPAN BORO,41.014050000000054,-73.98158999999998
116,COLTS NECK TWP,40.29380000000003,-74.19085999999999
117,MOUNTAIN LAKES BORO,40.886960000000045,-74.45089999999993
118,"CAMDEN PREP, INC.",39.945250000000044,-75.11912999999998
119,MINE HILL TWP,40.87974000000003,-74.59933999999998
120,CEDAR GROVE TWP,40.851420000000076,-74.22933999999998
121,CLARK TWP,40.624810000000025,-74.31453999999997
122,MONTVALE BORO,41.05033000000003,-74.06213999999994
123,PARSIPPANY-TROY HILLS TWP,40.871830000000045,-74.42214999999999
124,BRANCHBURG TWP,40.56110000000007,-74.70087999999998
125,RIVER DELL REGIONAL,40.94423000000006,-74.03456999999997
126,BUTLER BORO,41.00396000000006,-74.34383999999994
127,PARK RIDGE BORO,41.03377000000006,-74.03930999999994
128,RIVERTON,40.01040000000006,-75.01279999999997
129,RED BANK BORO,40.34920000000005,-74.07013999999998
130,MONTGOMERY TWP,40.45596000000006,-74.65941999999995
131,MOUNT OLIVE TWP,40.84746000000007,-74.74558999999994
132,UNION TWP,40.69668000000007,-74.27088999999995
133,RIVERDALE BORO,40.98903000000007,-74.30260999999996
134,STILLWATER TWP,41.05717000000004,-74.86288999999994
135,WATCHUNG HILLS REGIONAL,40.65139998990211,-74.47670999105587
136,LAUREL SPRINGS BORO,39.824020000000075,-75.00074999999998
137,WASHINGTON TWP,39.74475000000007,-75.08470999999997
138,PARAMUS BORO,40.92712000000006,-74.06175999999994
139,HOPEWELL VALLEY REGIONAL,40.388040000000046,-74.75811999999996
140,GREENWICH TWP,40.70049000000006,-75.11974999999995
141,BOONTON TWP,40.91509000000008,-74.42766999999998
142,EAST AMWELL TWP,40.42046000000005,-74.86993999999999
143,FRANKLIN TWP,40.49649000000005,-74.52676999999994
144,LOGAN TWP,39.801210000000026,-75.34847999999994
145,BERKELEY HEIGHTS TWP,40.68202000000008,-74.44208999999995
146,RANDOLPH TWP,40.84872000000007,-74.56160999999997
147,HOLMDEL TWP,40.38454000000007,-74.18808999999999
148,SADDLE RIVER BORO,41.03186000000005,-74.09923999999995
149,HUNTERDON CENTRAL REG,40.51783000000006,-74.85045999999994
150,NUTLEY TOWN,40.81854000000004,-74.15854999999993
151,MOONACHIE BORO,40.84185000000008,-74.04562999999996
152,CALIFON BORO,40.71876000000003,-74.83738999999997
153,MARLBORO TWP,40.32698000000005,-74.26693999999998
154,BEDMINSTER TWP,40.68278000000004,-74.64790999999997
155,SUSSEX COUNTY VOCATIONAL,41.13934496100006,-74.69067761999997
156,WESTWOOD REGIONAL,40.980450000000076,-74.06190999999995
157,VOORHEES TWP,39.856100000000026,-74.98500999999999
158,HASBROUCK HEIGHTS BORO,40.865080000000034,-74.07500999999996
159,EDISON TWP,40.52679000000006,-74.39356999999995
160,MARGATE CITY,39.320730000000026,-74.51224999999994
161,LEONIA BORO,40.86112000000003,-73.98835999999994
162,LENAPE REGIONAL,39.71880709307974,-75.46520090955221
163,BEVERLY CITY,40.06350000000003,-74.92119999999994
164,AVON BORO,39.97667249999999,-74.541798
